Respondent_ID,Glacier_Q1: Crowding pressure,Glacier_Q2: Overcapacity agreement,Glacier_Q3: Visitor limit support,Tourist_Q1: Sidewalk crowding,Tourist_Q2: Traffic congestion,Tourist_Q3: Cruise frequency,Carbon_Q1: Cruise emission concern,Carbon_Q2: Clean energy support,Carbon_Q3: Flight emission impact
147,1,2,3,3,2,1,2,4,3
148,2,2,3,1,2,3,2,5,3
149,3,2,2,1,2,3,2,4,2
150,3,2,2,1,2,3,3,1,2
151,1,4,3,3,3,4,2,4,3
152,3,2,2,3,3,3,3,5,3
153,3,2,3,3,2,3,2,3,2
154,2,2,3,3,2,4,3,5,3
155,1,3,3,3,3,2,3,5,3
156,3,4,3,1,3,3,2,5,3
157,1,3,5,2,3,2,1,5,3
158,1,3,2,3,3,2,3,4,1
159,3,2,2,2,2,4,2,4,1
160,1,2,5,2,2,3,3,2,3
161,2,3,2,1,2,3,3,4,3
162,1,1,5,2,2,2,3,4,3
163,1,2,4,1,2,4,3,5,3
164,2,3,3,2,2,3,3,5,3
165,3,4,5,1,2,3,3,4,2
166,1,3,2,1,1,4,3,5,3
167,3,3,2,3,2,4,1,3,3
168,3,3,4,1,3,3,3,5,3
169,3,3,5,3,2,2,2,5,3
170,2,3,4,1,3,3,3,5,3
171,1,3,3,2,2,3,2,5,3
172,3,1,1,1,4,3,3,5,1
173,2,4,3,1,3,2,3,4,3
174,3,2,4,1,1,4,3,5,3
175,1,3,3,1,3,2,3,4,1
176,3,1,4,3,2,4,3,5,1
177,1,4,3,3,3,3,2,5,2
178,2,3,5,2,2,4,2,5,2
179,1,1,3,3,2,4,2,3,3
180,3,1,4,1,2,3,2,5,3
181,3,2,1,3,3,4,3,4,3
182,3,3,4,1,3,2,3,5,2
183,1,3,3,1,4,4,3,4,2
184,1,2,2,1,3,3,3,5,3
185,3,1,5,3,2,3,3,4,3
186,1,2,2,1,1,4,3,4,2
187,1,2,3,1,1,4,3,2,3
188,2,3,5,2,2,3,3,5,2
189,2,2,4,1,2,3,2,5,2
190,3,3,3,1,2,3,2,5,2
191,3,3,5,3,3,3,3,3,2
192,1,3,3,2,1,3,1,4,1
193,1,2,4,2,2,4,1,4,3
194,1,3,3,3,2,3,3,5,2
195,3,4,5,2,3,1,3,5,2
196,3,2,2,3,2,3,3,5,3
197,1,3,1,3,2,3,1,1,3
198,1,2,1,3,1,3,2,4,3
199,1,3,3,1,2,2,3,2,3
200,1,2,5,2,2,2,3,5,2
201,1,2,3,1,1,3,3,4,1
202,3,4,5,2,3,1,3,4,3
203,3,3,5,3,2,4,3,5,3
204,1,4,4,2,4,4,2,3,1
205,1,4,4,2,2,2,2,2,3
206,3,1,3,3,1,2,2,3,3
207,3,3,3,1,3,4,2,4,2
208,1,2,4,3,1,4,2,5,3
209,3,3,4,1,3,4,3,5,3
210,3,2,1,1,1,4,2,1,3
211,2,2,4,3,2,2,3,5,3
212,1,2,4,3,2,3,2,4,2
213,1,2,5,1,4,3,3,4,3
214,3,3,3,2,1,3,2,4,3
215,1,3,3,3,2,4,3,1,2
216,3,1,4,1,3,4,3,5,1
217,3,2,5,3,2,3,3,5,3
218,1,1,3,1,3,1,3,5,3
219,1,4,3,1,1,2,2,5,2
220,1,2,4,3,3,4,2,5,3
221,1,1,1,3,2,2,3,5,3
222,2,3,5,3,2,2,3,3,2
223,3,4,4,3,4,2,3,2,1
224,2,2,2,3,3,3,3,5,2
225,3,2,4,1,4,3,3,5,2
226,3,2,3,3,2,3,2,2,2
227,1,4,4,2,3,4,3,5,3
228,2,2,4,1,2,4,3,5,2
229,1,3,1,1,3,4,3,5,3
230,1,3,4,1,3,3,3,4,3
231,1,3,2,3,2,2,3,5,2
232,2,2,4,1,4,3,2,1,3
233,2,2,4,2,1,4,3,5,3
234,2,2,5,2,1,1,3,4,1
235,3,3,3,3,2,1,3,5,3
236,1,1,4,1,2,2,3,4,3
237,3,3,2,2,1,1,3,4,3
238,3,2,4,3,3,3,1,4,2
239,1,3,1,2,4,1,2,4,2
240,3,3,5,2,3,4,3,4,3
241,1,2,2,1,2,3,3,2,2
242,1,3,3,1,4,4,3,3,3
243,1,2,3,1,2,4,3,4,2
244,2,2,2,3,1,4,2,5,3
245,3,3,3,2,1,3,2,5,3
246,1,1,3,2,2,2,3,5,1
247,2,3,5,3,4,3,3,4,3
248,1,2,5,3,2,4,3,5,3
249,1,1,2,1,2,2,2,5,2
250,1,2,3,3,3,3,2,3,1
251,3,4,3,2,4,3,3,3,3
252,2,1,4,3,1,3,3,2,3
253,1,2,5,3,2,4,2,5,3
254,3,3,5,3,2,3,3,4,3
255,3,4,3,1,1,1,3,5,3
256,2,2,4,1,2,4,3,5,2
257,1,2,4,1,2,3,2,5,1
258,1,2,4,2,2,2,3,5,3
259,2,1,5,3,3,2,3,5,3
260,3,2,3,2,2,4,2,3,3
261,1,3,4,2,2,4,3,5,3
262,1,3,3,1,2,4,3,4,1
263,3,3,4,3,1,3,3,4,3
264,2,2,4,2,2,3,3,5,3
265,1,4,5,3,2,4,2,4,2
266,1,2,5,3,2,1,3,5,3
267,1,2,4,1,2,3,3,4,2
268,1,1,4,2,2,4,3,5,3
269,3,3,3,2,3,3,2,5,2
270,3,2,4,2,2,3,2,5,1
271,1,4,3,2,3,4,3,4,2
272,1,2,2,1,2,4,3,2,1
273,1,4,3,1,2,2,2,5,3
274,1,3,5,1,2,3,3,4,3
275,2,2,4,1,1,3,2,4,2
276,2,4,5,3,2,3,2,2,2
277,1,3,4,1,2,4,2,3,3
278,1,2,1,2,2,4,3,4,3
279,1,2,5,3,2,3,3,4,3
280,1,2,4,1,4,4,2,3,3
281,1,2,3,3,3,4,3,5,3
282,3,2,3,1,2,2,3,5,2
283,2,3,3,2,2,1,2,5,3
284,3,3,5,1,4,2,2,3,3
285,2,3,4,1,3,2,3,3,3
286,3,1,4,1,3,4,3,5,2
287,2,2,5,1,1,1,3,4,1
288,2,3,4,1,3,4,2,4,2
289,3,2,5,3,2,1,1,5,3
290,2,1,5,2,3,1,3,1,2
291,3,3,4,3,2,2,3,5,3
292,3,2,5,1,3,1,2,5,3
293,1,2,3,2,3,3,3,4,3
294,3,2,3,1,2,4,3,4,1
295,3,4,2,3,4,3,1,5,3
296,2,1,4,3,4,3,3,4,3
297,1,1,5,1,3,4,2,4,3
298,3,2,5,3,4,3,3,5,3
299,1,2,3,3,3,1,3,5,3
300,3,1,3,3,3,4,2,4,2
301,3,2,5,1,2,2,3,5,3
302,2,3,2,1,2,1,1,2,1
303,2,2,5,3,2,1,3,3,2
304,1,2,4,3,3,1,3,1,2
305,1,3,3,3,1,3,3,5,1
306,1,2,2,1,2,1,3,1,3
307,2,1,3,1,4,2,3,5,3
308,3,1,2,3,2,4,3,5,2
309,1,2,4,3,3,3,3,5,1
310,3,4,2,3,3,2,3,5,2
311,2,1,5,1,2,4,2,4,3
312,3,2,2,1,1,3,2,4,1
313,3,4,4,3,2,3,2,5,3
314,1,1,2,3,2,4,3,4,1
315,1,1,4,3,1,3,3,5,1
316,1,2,3,1,3,2,2,4,3
317,2,2,4,3,3,3,3,5,2
318,3,3,3,1,2,4,3,3,3
319,3,4,5,1,2,4,2,3,3
320,3,3,5,2,2,3,2,4,3
321,2,2,4,3,1,1,3,5,2
322,1,4,5,3,2,4,3,5,1
323,1,3,2,1,2,3,2,3,2
324,3,3,4,1,3,4,3,5,3
325,1,2,1,1,2,3,2,5,2
326,1,1,4,2,1,2,2,5,1
327,2,3,5,3,2,2,2,4,3
328,1,3,3,1,4,4,3,4,1
329,2,2,3,1,2,3,3,3,3
330,3,2,4,3,4,4,2,5,2
331,3,3,3,1,3,3,2,5,3
332,1,2,3,1,4,3,2,3,3
333,3,4,4,2,2,4,3,3,3
334,3,3,1,1,2,4,3,5,2
335,3,2,1,1,3,3,2,4,3
336,3,3,3,1,2,1,2,5,3
337,1,1,5,3,2,1,1,2,2
338,1,3,3,3,2,4,2,5,1
339,2,2,5,1,3,2,3,2,3
340,3,2,5,3,2,3,2,4,3
341,2,4,4,2,2,3,2,4,3
342,2,2,4,2,4,2,3,5,3
343,3,3,2,2,4,1,2,4,1
344,2,1,3,1,2,1,3,5,1
345,2,4,3,1,1,3,3,5,2
346,1,3,4,3,2,3,2,4,3
347,1,4,4,3,2,2,3,1,2
348,3,1,4,3,2,4,3,4,3
349,2,2,1,1,2,3,3,4,1
350,1,2,5,1,4,3,3,5,2
351,2,4,2,3,2,3,3,5,2
352,1,2,3,1,1,4,3,5,2
353,1,3,4,1,2,4,1,4,3
354,3,1,3,1,1,1,3,2,1
355,3,3,4,1,2,4,3,4,3
356,1,3,2,3,3,3,3,5,2
357,3,4,2,1,1,4,2,5,3
358,2,2,4,2,4,4,3,4,2
359,1,2,4,1,2,4,2,5,2
360,2,4,3,1,3,4,2,3,3
361,2,2,2,1,4,2,2,3,3
362,1,2,4,1,2,4,3,4,2
363,2,2,3,3,3,1,2,5,2
364,2,3,3,2,2,3,3,5,3
365,1,3,3,1,2,3,1,5,3
366,2,2,5,1,4,3,2,5,2
367,1,3,3,3,3,3,3,5,3
368,1,3,2,3,2,2,3,4,3
369,3,1,5,3,3,4,3,4,3
370,3,1,4,1,2,3,2,5,3
371,3,3,1,1,2,2,3,5,3
372,3,3,5,3,2,1,3,5,3
373,3,2,2,2,2,2,3,5,3
374,1,3,4,1,2,3,2,3,3
375,3,4,4,1,2,2,2,5,3
376,3,3,2,2,3,3,2,5,3
377,1,2,4,2,3,3,2,5,3
378,3,2,4,2,2,4,3,3,1
379,1,4,4,3,2,3,3,4,3
380,3,3,3,2,2,4,2,5,3
381,3,3,5,1,2,3,3,4,3
382,1,2,4,1,1,2,3,4,3
383,1,4,1,1,1,4,3,1,2
384,1,4,4,1,2,4,3,5,3
385,1,2,3,3,3,4,3,3,1
386,1,3,4,2,2,1,2,2,3
387,3,2,3,3,2,3,3,2,1
388,3,3,5,3,2,3,3,4,3
389,1,4,1,1,2,2,3,4,3
390,1,3,4,1,2,2,2,5,3
391,1,2,4,3,2,3,3,4,3
392,2,1,5,2,3,3,2,4,3
393,2,2,5,1,2,2,2,4,2
394,1,3,4,3,3,3,3,5,3
395,3,2,4,2,1,4,1,4,1
396,1,3,2,1,3,2,1,3,1
397,1,3,4,1,3,3,2,5,3
398,2,1,4,3,4,4,2,3,3
399,1,4,3,3,2,3,3,4,3
400,1,4,3,1,2,4,3,3,3
401,3,3,5,2,3,4,3,5,3
402,1,4,5,3,4,2,3,5,3
403,2,3,5,1,2,4,1,2,3
404,1,2,3,3,3,3,3,5,3
405,3,3,3,1,2,3,2,3,1
406,1,1,4,3,2,4,2,4,2
407,2,2,2,1,2,1,2,4,1
408,3,3,2,2,3,4,1,5,3
409,1,3,3,3,1,3,3,4,3
410,3,3,2,3,2,3,3,5,3
411,3,2,4,3,2,4,3,5,3
412,1,3,5,1,3,4,3,5,3
413,1,2,4,1,2,2,3,5,2
414,2,3,5,2,4,1,3,1,2
415,1,2,4,2,2,4,2,1,3
416,2,3,2,1,1,3,3,5,3
417,3,3,5,1,2,2,3,4,3
418,3,1,5,2,4,2,2,5,3
419,1,2,4,2,4,3,3,4,3
420,1,4,2,2,2,3,3,3,3
421,1,1,4,1,3,3,2,2,3
422,1,2,4,3,4,2,2,5,1
423,3,1,5,1,2,2,2,4,2
424,2,2,5,3,2,4,3,5,2
425,3,3,1,1,3,3,2,1,3
426,2,4,1,3,1,1,2,5,3
427,2,3,5,2,3,2,3,4,3
428,1,2,1,2,1,1,2,4,3
429,3,2,3,1,3,2,2,4,3
430,3,3,2,3,1,3,3,5,2
431,3,4,4,2,2,3,3,2,2
432,1,2,4,2,2,3,1,5,3
433,1,1,4,2,1,4,2,4,3
434,3,2,3,1,3,3,3,5,1
435,3,3,5,1,1,2,2,5,3
436,1,3,5,1,2,4,3,4,3
437,3,4,4,3,2,2,3,5,3
438,1,1,3,1,3,3,3,5,2
439,1,4,4,2,2,1,1,5,1
440,3,2,3,3,3,4,1,5,3
441,3,3,1,3,2,4,3,4,1
442,1,2,5,3,2,3,3,3,1
443,2,2,3,1,2,4,3,5,3
444,2,2,4,1,2,2,1,5,3
445,1,3,2,1,2,2,1,5,3
446,1,4,5,2,3,4,2,5,1
447,1,4,3,2,3,3,2,4,3
448,1,1,2,3,3,3,2,4,2
449,2,1,2,3,4,3,3,5,3
450,3,2,3,2,3,1,3,5,2
451,1,2,4,3,3,2,3,5,3
452,2,2,3,3,1,3,2,3,2
453,2,3,2,1,2,2,2,1,1
454,1,1,3,1,3,3,3,5,2
455,3,3,5,1,2,1,1,5,1
456,2,3,2,1,3,3,3,3,3
457,3,2,3,1,2,2,3,2,2
458,2,4,3,2,2,2,2,5,3
459,3,3,4,1,2,4,2,5,3
460,3,2,3,1,2,2,2,5,3
461,3,4,4,3,1,4,3,4,3
462,1,2,3,2,1,3,3,5,3
463,1,3,5,1,2,3,2,5,1
464,2,3,3,2,2,1,3,4,3
465,1,3,1,2,2,2,3,5,2
466,2,3,5,2,3,2,2,4,3
467,3,2,1,3,2,2,3,5,3
468,1,3,4,3,4,3,2,5,3
469,3,2,2,3,2,1,2,4,1
470,1,2,3,3,2,3,3,5,1
471,3,2,3,3,3,3,3,1,1
472,1,1,3,1,1,4,2,4,1
473,3,2,2,3,1,2,2,5,3
474,1,3,4,2,2,2,2,4,3
475,2,4,4,3,2,3,2,5,2
476,1,3,3,1,1,4,2,2,3
477,3,2,2,3,3,2,1,5,3
478,2,4,3,2,2,4,3,4,3
479,1,2,3,1,3,2,3,5,2
480,2,2,4,1,2,1,3,5,2
481,1,3,2,3,3,3,3,3,3
482,1,2,5,1,1,4,3,3,3
483,2,4,4,2,1,2,3,5,3
484,1,4,5,2,3,2,1,5,2
485,2,2,4,3,2,3,3,3,3
486,1,2,4,3,1,1,3,2,2
487,3,2,4,1,2,4,3,5,3
488,3,3,3,2,1,3,3,4,3
489,1,3,4,2,2,2,3,5,2
490,1,2,4,1,2,2,3,3,3
491,2,2,4,1,3,4,3,5,3
492,1,2,4,3,3,2,2,5,2
493,3,3,4,1,2,3,2,4,3
494,3,2,5,3,2,3,2,5,2
495,2,3,3,1,2,4,2,4,2
496,3,4,3,1,2,2,3,5,2
497,2,1,3,1,2,4,2,5,3
498,3,4,4,3,1,3,2,5,3
499,1,1,4,3,1,4,3,4,3
500,1,3,2,3,2,2,2,5,3
