受访者ID,问题1: 总体影响,问题2: 影响权衡,问题3-1: Mendenhall Glacier拥挤,问题3-2: 市中心车辆拥堵,问题3-3: 市中心人行道拥挤,问题3-4: 观鲸船交通及浪涌,问题3-5: 市中心外车辆拥堵,问题3-6: 观光飞行噪音,问题3-7: 步道拥挤,问题3-8: 邮轮废气排放
27,积极影响,不适用,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
28,既有积极和消极影响,消极影,非常受影响,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
29,既有积极和消极影响,不知道,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,非常受影响
30,积极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
31,既有积极和消极影响,两者相,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
32,积极影响,不适用,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响
33,积极影响,不适用,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响
34,没有影响,不适用,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响
35,没有影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响
36,既有积极和消极影响,积极影,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响
37,积极影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响
38,积极影响,不适用,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
39,既有积极和消极影响,积极影,有些受影响,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响
40,既有积极和消极影响,积极影,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响
41,积极影响,不适用,没有受影响,有些受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响
42,既有积极和消极影响,两者相,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,非常受影响,非常受影响
43,积极影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
44,没有影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
45,积极影响,不适用,没有受影响,有些受影响,有些受影响,有些受影响,有些受影响,非常受影响,有些受影响,没有受影响
46,既有积极和消极影响,不知道,非常受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
47,消极影响,不适用,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
48,既有积极和消极影响,积极影,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
49,既有积极和消极影响,消极影,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响
50,积极影响,不适用,非常受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
51,没有影响,不适用,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
52,既有积极和消极影响,消极影,非常受影响,没有受影响,有些受影响,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响
53,没有影响,不适用,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响
54,没有影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响
55,既有积极和消极影响,不知道,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
56,没有影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
57,积极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
58,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
59,积极影响,不适用,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响
60,消极影响,不适用,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,非常受影响
61,消极影响,不适用,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响
62,积极影响,不适用,没有受影响,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响
63,既有积极和消极影响,两者相,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响
64,消极影响,不适用,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响
65,积极影响,不适用,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响
66,既有积极和消极影响,两者相,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
67,积极影响,不适用,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响
68,既有积极和消极影响,消极影,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
69,积极影响,不适用,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
70,没有影响,不适用,有些受影响,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响
71,既有积极和消极影响,消极影,没有受影响,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
72,积极影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响
73,积极影响,不适用,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响,非常受影响
74,既有积极和消极影响,积极影,有些受影响,有些受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
75,既有积极和消极影响,积极影,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
76,既有积极和消极影响,两者相,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响
77,既有积极和消极影响,两者相,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响
78,积极影响,不适用,没有受影响,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,非常受影响
79,消极影响,不适用,有些受影响,非常受影响,非常受影响,非常受影响,没有受影响,非常受影响,非常受影响,有些受影响
80,积极影响,不适用,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响
81,既有积极和消极影响,不知道,没有受影响,没有受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
82,既有积极和消极影响,不知道,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响
83,消极影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
84,积极影响,不适用,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
85,消极影响,不适用,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
86,消极影响,不适用,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响
87,既有积极和消极影响,消极影,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,非常受影响
88,既有积极和消极影响,两者相,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
89,没有影响,不适用,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响
90,既有积极和消极影响,不知道,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响
91,积极影响,不适用,非常受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响
92,既有积极和消极影响,两者相,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响
93,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
94,既有积极和消极影响,消极影,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响
95,既有积极和消极影响,积极影,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响
96,既有积极和消极影响,不知道,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响
97,既有积极和消极影响,消极影,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
98,既有积极和消极影响,积极影,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
99,积极影响,不适用,非常受影响,没有受影响,没有受影响,有些受影响,非常受影响,非常受影响,没有受影响,非常受影响
100,积极影响,不适用,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响
101,积极影响,不适用,非常受影响,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
102,既有积极和消极影响,两者相,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
103,消极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响
104,既有积极和消极影响,消极影,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
105,没有影响,不适用,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响,没有受影响
106,积极影响,不适用,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
107,消极影响,不适用,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
108,既有积极和消极影响,积极影,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响
109,积极影响,不适用,非常受影响,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响
110,积极影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响,没有受影响,非常受影响
111,积极影响,不适用,有些受影响,有些受影响,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响
112,积极影响,不适用,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响
113,没有影响,不适用,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响
114,既有积极和消极影响,积极影,非常受影响,非常受影响,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响
115,既有积极和消极影响,两者相,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响
116,既有积极和消极影响,消极影,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响
117,既有积极和消极影响,两者相,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,非常受影响
118,积极影响,不适用,没有受影响,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
119,没有影响,不适用,非常受影响,没有受影响,非常受影响,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响
120,既有积极和消极影响,消极影,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
121,既有积极和消极影响,两者相,有些受影响,非常受影响,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,有些受影响
122,没有影响,不适用,非常受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
123,消极影响,不适用,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,非常受影响
124,积极影响,不适用,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
125,积极影响,不适用,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响
126,既有积极和消极影响,消极影,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
127,既有积极和消极影响,消极影,有些受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响
128,既有积极和消极影响,两者相,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
129,积极影响,不适用,没有受影响,有些受影响,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响
130,既有积极和消极影响,消极影,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
131,消极影响,不适用,有些受影响,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响,非常受影响,没有受影响
132,积极影响,不适用,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
133,积极影响,不适用,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响
134,消极影响,不适用,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
135,没有影响,不适用,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
136,消极影响,不适用,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响
137,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响
138,既有积极和消极影响,积极影,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,有些受影响,有些受影响
139,消极影响,不适用,有些受影响,有些受影响,有些受影响,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响
140,没有影响,不适用,有些受影响,非常受影响,没有受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响
141,没有影响,不适用,非常受影响,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响
142,积极影响,不适用,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响
143,既有积极和消极影响,两者相,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响,没有受影响
144,积极影响,不适用,有些受影响,没有受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
145,积极影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响
146,积极影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响
147,既有积极和消极影响,消极影,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
148,既有积极和消极影响,两者相,非常受影响,没有受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响
149,积极影响,不适用,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响
150,积极影响,不适用,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响
151,没有影响,不适用,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响
152,积极影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,有些受影响,有些受影响
153,积极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
154,既有积极和消极影响,积极影,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,有些受影响,非常受影响
155,没有影响,不适用,非常受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响
156,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
157,既有积极和消极影响,积极影,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
158,既有积极和消极影响,积极影,没有受影响,有些受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
159,积极影响,不适用,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
160,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,非常受影响
161,消极影响,不适用,非常受影响,有些受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响
162,既有积极和消极影响,消极影,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,有些受影响,没有受影响,非常受影响
163,既有积极和消极影响,消极影,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响
164,既有积极和消极影响,消极影,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响
165,积极影响,不适用,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,有些受影响,没有受影响
166,既有积极和消极影响,两者相,没有受影响,没有受影响,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响
167,消极影响,不适用,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
168,积极影响,不适用,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响
169,积极影响,不适用,非常受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,非常受影响
170,既有积极和消极影响,积极影,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,非常受影响
171,既有积极和消极影响,消极影,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响
172,积极影响,不适用,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响
173,既有积极和消极影响,两者相,没有受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响
174,积极影响,不适用,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
175,既有积极和消极影响,消极影,非常受影响,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响
176,积极影响,不适用,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
177,既有积极和消极影响,消极影,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
178,消极影响,不适用,非常受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响,有些受影响
179,没有影响,不适用,没有受影响,非常受影响,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响
180,积极影响,不适用,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,有些受影响
181,消极影响,不适用,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,非常受影响
182,积极影响,不适用,非常受影响,非常受影响,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,非常受影响
183,没有影响,不适用,非常受影响,非常受影响,非常受影响,非常受影响,没有受影响,非常受影响,有些受影响,没有受影响
184,既有积极和消极影响,两者相,非常受影响,非常受影响,没有受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响
185,积极影响,不适用,有些受影响,没有受影响,非常受影响,有些受影响,有些受影响,有些受影响,有些受影响,有些受影响
186,既有积极和消极影响,不知道,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
187,既有积极和消极影响,积极影,没有受影响,有些受影响,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
188,既有积极和消极影响,两者相,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响
189,既有积极和消极影响,消极影,非常受影响,没有受影响,有些受影响,非常受影响,有些受影响,没有受影响,有些受影响,非常受影响
190,积极影响,不适用,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
191,积极影响,不适用,非常受影响,没有受影响,非常受影响,有些受影响,有些受影响,非常受影响,有些受影响,没有受影响
192,没有影响,不适用,有些受影响,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,非常受影响,非常受影响
193,没有影响,不适用,非常受影响,非常受影响,没有受影响,非常受影响,非常受影响,非常受影响,有些受影响,非常受影响
194,既有积极和消极影响,积极影,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,非常受影响,没有受影响
195,消极影响,不适用,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,有些受影响,没有受影响,没有受影响
196,消极影响,不适用,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响
197,既有积极和消极影响,消极影,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
198,没有影响,不适用,非常受影响,非常受影响,没有受影响,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响
199,没有影响,不适用,没有受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,有些受影响,非常受影响
200,既有积极和消极影响,不知道,没有受影响,有些受影响,有些受影响,非常受影响,有些受影响,有些受影响,没有受影响,有些受影响
201,既有积极和消极影响,消极影,非常受影响,没有受影响,有些受影响,有些受影响,有些受影响,非常受影响,没有受影响,有些受影响
202,积极影响,不适用,没有受影响,有些受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,非常受影响
203,积极影响,不适用,有些受影响,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
204,没有影响,不适用,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
205,既有积极和消极影响,积极影,没有受影响,非常受影响,非常受影响,有些受影响,有些受影响,非常受影响,有些受影响,没有受影响
206,积极影响,不适用,有些受影响,没有受影响,没有受影响,非常受影响,有些受影响,没有受影响,没有受影响,有些受影响
207,积极影响,不适用,非常受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响,非常受影响,没有受影响
208,既有积极和消极影响,两者相,非常受影响,非常受影响,有些受影响,非常受影响,没有受影响,没有受影响,没有受影响,有些受影响
209,积极影响,不适用,有些受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,非常受影响
210,积极影响,不适用,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响
211,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响,没有受影响,非常受影响,没有受影响
212,既有积极和消极影响,积极影,非常受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
213,既有积极和消极影响,积极影,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
214,积极影响,不适用,没有受影响,有些受影响,有些受影响,没有受影响,非常受影响,没有受影响,没有受影响,没有受影响
215,既有积极和消极影响,积极影,有些受影响,没有受影响,没有受影响,非常受影响,没有受影响,没有受影响,有些受影响,没有受影响
216,积极影响,不适用,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,有些受影响,非常受影响
217,消极影响,不适用,非常受影响,非常受影响,没有受影响,有些受影响,有些受影响,有些受影响,没有受影响,有些受影响
218,既有积极和消极影响,积极影,非常受影响,有些受影响,非常受影响,有些受影响,没有受影响,有些受影响,没有受影响,有些受影响
219,既有积极和消极影响,积极影,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响,没有受影响,有些受影响,没有受影响
220,既有积极和消极影响,两者相,非常受影响,非常受影响,有些受影响,没有受影响,没有受影响,没有受影响,有些受影响,没有受影响
221,既有积极和消极影响,积极影,有些受影响,没有受影响,非常受影响,非常受影响,非常受影响,没有受影响,没有受影响,有些受影响
222,既有积极和消极影响,积极影,非常受影响,没有受影响,非常受影响,没有受影响,有些受影响,有些受影响,没有受影响,没有受影响
223,积极影响,不适用,有些受影响,非常受影响,非常受影响,没有受影响,没有受影响,没有受影响,没有受影响,没有受影响
